LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
ID618683,618683,1,4.401021004,9.803615672,18.83439,0,0,0,0.25,1,,15.42622951,14,10,24,941,3.368773349,26.72131148,25,17,37,1630,4.851567264,24.47540984,22,11,54,1493,10.4635981,,,-0.047198251,-0.453671348,0.026402457,0.283355974,0.434773469,1.417616028
ID619470,619470,1,3.99600029,9.812161698,18.74797298,0,3,1,0.25,1,,17.83606557,16,13,29,1088,4.367227678,25.19672131,25,19,33,1537,2.931550626,22.04918033,19,10,41,1345,9.063528065,,,-0.030850248,-0.260010565,-0.012951473,-0.225557501,0.410722852,1.416551365
ID618606,618606,1,3.624035597,9.82923629,18.79701935,0,6,2,0.25,1,,15.08196721,14,8,21,920,3.012723474,25.7704918,26,18,39,1572,4.375665445,20.78688525,20,9,39,1268,7.655313523,,,-0.083483803,-0.911991514,-0.003777172,-0.044660016,0.405897806,1.567903692
ID619142,619142,1,4.187673569,9.642216138,18.67070048,0,9,3,0.25,1,,15.55737705,16,8,22,949,2.941227579,26.93442623,26,20,34,1643,2.856973063,22.8852459,20,11,43,1396,9.550040769,,,-0.047302886,-0.525255403,0.006204221,0.116260635,0.440609792,1.465845288
ID618953,618953,1,3.287456751,9.640852477,18.73069821,0,12,4,0.25,1,,13.2295082,14,8,18,807,1.900819495,30.13114754,30,20,40,1838,4.436497905,19.62295082,19,10,34,1197,6.848756419,,,-0.091073731,-1.394752962,0.08679935,1.084856981,0.39129516,1.611639088
ID618834,618834,1,4.546742439,9.840526571,18.88973147,0,15,5,0.25,1,,14.09836066,14,11,22,860,2.420088966,25.09836066,26,16,36,1531,5.325113201,23.27868852,20,10,45,1420,10.52319842,,,-0.123724172,-1.645057209,0.046097942,0.415389671,0.448731809,1.370375565
ID619333,619333,1,4.145785809,9.798486511,18.67421361,0,18,6,0.25,1,,16.73770492,16,10,24,1021,3.863942888,24.63934426,25,17,33,1503,3.80365082,22.08196721,20,9,48,1347,10.03542904,,,-0.032698948,-0.292864904,0.020896248,0.265182713,0.443580454,1.352269397
ID619204,619204,1,2.482967377,9.723289507,18.72431461,0,21,7,0.25,1,,14,13,10,19,854,2.057506582,25.39344262,26,19,31,1549,3.012632783,16.93442623,16,7,30,1033,5.353717875,,,-0.099744246,-1.507782651,-0.005867273,-0.099494103,0.331614567,1.575433451
ID618471,618471,1,4.133711815,9.832104394,18.82483634,0,24,8,0.25,1,,15.63934426,15,11,22,954,3.060679592,26.45901639,26,19,33,1614,3.757542506,22.47540984,18,9,49,1371,10.35954722,,,-0.05808435,-0.63019911,0.02994507,0.409459599,0.43616176,1.317774408
ID619403,619403,1,3.200223446,9.816370247,19.08381793,0,27,9,0.25,1,,14.13114754,14,11,19,862,1.596615272,26.73770492,27,17,36,1631,4.614837084,19.81967213,17,11,34,1209,6.871458353,,,-0.100037965,-1.967649807,0.063966375,0.696661136,0.380871416,1.59111908
ID618765,618765,1,4.203038692,9.765554655,18.93854597,0,30,10,0.25,1,,13.72131148,13,10,20,837,2.360304695,26.50819672,27,19,35,1617,4.217514872,22.7704918,20,11,49,1389,9.824108853,,,-0.081759164,-1.035231281,0.048126412,0.577196088,0.449246666,1.43698354
ID618402,618402,1,2.873316765,9.669532291,19.10989387,0,33,11,0.25,1,,13.81967213,14,9,21,843,2.391012315,28.70491803,29,21,37,1751,3.938461046,18.80327869,18,8,37,1147,5.861796289,,,-0.10975639,-1.425170659,0.089856508,1.20182149,0.389217106,1.797441043
ID618705,618705,2,3.706053257,14.3507818,23.47087096,0,0,0,0.25,1,,23.13114754,22,17,35,1411,3.976914255,24.73770492,24,14,34,1509,4.665124648,23.67213115,22,10,46,1444,7.415572155,,,0.008432162,0.09726872,0.091619793,0.89011076,0.403432043,1.835277287
ID619484,619484,2,2.643143415,14.14704073,23.48168025,0,3,1,0.25,1,,26.49180328,26,19,35,1616,4.444558286,19.14754098,20,10,25,1168,3.691594351,19.37704918,18,12,29,1182,5.02713946,,,0.042429707,0.485217173,-0.006637141,-0.069311003,0.335992062,1.938750146
