LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
ID581192,581192,0,22.77168083,11.2535303,12.59936702,0,0,0,0.25,1,,19.83606557,20,9,32,1210,4.579593606,33.50819672,32,25,46,2044,5.207760078,91.21311475,85,36,204,5564,48.4276487,,,0.020930612,0.177600541,0.00326992,0.041942023,0.687932211,1.535269219
ID580808,580808,0,16.80751991,11.05887486,12.38272736,0,3,1,0.25,1,,21.57377049,22,17,27,1316,3.122280237,32.13114754,32,25,44,1960,4.173229804,73.67213115,66,27,141,4494,34.43918375,,,0.038706639,0.514963834,-0.016428967,-0.257210354,0.6250226,1.645571265
ID580454,580454,0,8.888537407,11.22539537,12.81579513,0,6,2,0.25,1,,21.21311475,22,13,30,1294,3.751065422,35.93442623,36,24,49,2192,5.309955594,43.40983607,40,15,83,2648,18.15982475,,,0.065573694,0.69602679,-0.002330014,-0.031609774,0.52587,1.647659056
ID581065,581065,0,11.2932663,11.53813858,12.29871567,0,9,3,0.25,1,,14.52459016,15,12,18,886,1.628972656,36.70491803,37,29,43,2239,4.104242773,56.31147541,51,25,101,3435,21.32958898,,,-0.021375406,-0.389509758,-0.020836155,-0.380612821,0.541841738,1.855568848
ID581333,581333,0,15.9148016,11.73491027,12.594736,0,12,4,0.25,1,,12.16393443,12,9,15,742,1.404520415,44.29508197,44,34,61,2702,6.888019218,69.72131148,58,25,144,4253,34.08867414,,,-0.075994552,-1.424570465,-0.010475742,-0.136159983,0.605835282,1.543259644
ID581459,581459,0,15.62759781,11.85546218,11.84923435,0,15,5,0.25,1,,14.27868852,14,9,24,871,3.21523015,38.96721311,39,29,51,2377,5.680279374,72.09836066,65,24,166,4398,34.12658051,,,-0.034009062,-0.312699974,0.022606749,0.303311654,0.584054026,1.557921763
ID581593,581593,0,18.63303947,12.55296068,12.36460289,0,18,6,0.25,1,,13.60655738,13,9,22,830,2.740308307,41.80327869,40,30,57,2550,8.003790086,80.31147541,67,27,163,4899,38.38556195,,,-0.019699293,-0.199558463,0.002273428,0.023694065,0.631083168,1.61901245
ID580939,580939,0,9.568336487,12.62362365,12.52078092,0,21,7,0.25,1,,12.85245902,13,10,16,784,1.481396476,43.27868852,44,35,51,2640,3.251313312,51.52459016,50,22,91,3143,20.00633779,,,-0.032912812,-0.590533139,0.002767841,0.073482859,0.451242692,1.601574259
ID581193,581193,1,2.257169485,21.35644128,12.68150396,0,0,0,0.25,1,,19.47540984,19,12,28,1188,2.566492791,32.95081967,32,19,43,2010,4.634746413,24.1147541,23,14,35,1471,3.97113905,,,-0.017672111,-0.273028831,-0.011223519,-0.161399114,0.223429341,2.217987284
ID580811,580811,1,5.146047115,21.17960762,12.65278629,0,3,1,0.25,1,,18.54098361,18,14,23,1131,2.262548493,32.2295082,32,27,38,1966,3.078925368,34.63934426,32,13,63,2113,11.23540948,,,-0.020822573,-0.348528153,-0.026899637,-0.578726415,0.337026844,1.554300974
ID580452,580452,1,6.746760845,21.25160034,12.67225868,0,6,2,0.25,1,,19.29508197,19,15,24,1177,1.943744344,33.85245902,32,25,53,2065,5.971700108,39.70491803,36,18,76,2422,14.86869672,,,-0.028335827,-0.5789715,-0.001840103,-0.020900867,0.42264229,1.586640855
ID581071,581071,1,5.558702946,21.26267582,12.84401324,0,9,3,0.25,1,,20.09836066,20,16,25,1226,2.03063962,33.08196721,33,27,39,2018,2.697499348,36.19672131,34,21,59,2208,10.23037906,,,-0.01430738,-0.287326968,0.018224769,0.439013986,0.373626976,1.924761475
ID581330,581330,1,5.470655441,21.58588085,12.15977506,0,12,4,0.25,1,,19.36065574,19,14,26,1181,3.038819874,34.3442623,34,27,45,2095,4.234324999,34.68852459,33,14,50,2116,9.720324041,,,-0.054985224,-0.741399859,0.001457154,0.023603317,0.398157395,2.032515205
ID581462,581462,1,11.87858582,21.30310106,12.34998554,0,15,5,0.25,1,,20.39344262,20,14,26,1244,2.375420584,30.63934426,30,22,44,1869,4.408449413,58.2295082,57,25,118,3552,23.76229046,,,-0.00398961,-0.068777529,-0.033469963,-0.481352779,0.543387022,1.725516971
ID581590,581590,1,15.15695858,21.32533781,12.05491882,0,18,6,0.25,1,,20.95081967,20,14,30,1278,3.363659859,31.29508197,32,24,40,1909,3.620977135,74.32786885,67,30,141,4534,27.9098079,,,-0.014124449,-0.178471283,-0.008556038,-0.149171145,0.582237344,1.959987294
ID580937,580937,1,13.35646915,21.30024131,12.01154271,0,21,7,0.25,1,,22.19672131,22,15,29,1354,2.44144542,30.96721311,31,23,37,1889,2.938067466,77.42622951,78,40,111,4723,19.37649695,,,0.004709364,0.085230227,-0.00299733,-0.063373622,0.488639304,2.62326254
ID580688,580688,1,8.957983971,21.30372569,12.43170448,0,24,8,0.25,1,,20.85245902,21,13,26,1272,2.329778713,29.24590164,29,25,36,1784,2.838166883,50.04918033,50,27,79,3053,14.73705786,,,0.023143578,0.404917472,-0.031217072,-0.664083634,0.485106865,2.218686248
