Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3
ID199947,199947,0,24.41585541,11.2479555,19.10741202,0,0,0,0.25,1,,23.19672131,23,17,33,1415,4.085827832,387.8196721,394,256,530,23657,60.22721096,94.50819672,77,30,238,5765,57.12110613,,,-0.128726588,-1.677607411,0.048988754,0.601440456,0.682147082,1.341890019
ID200331,200331,0,23.08315659,11.16471154,19.05108496,0,3,1,0.25,1,,24.50819672,24,15,38,1495,4.825705305,380.6229508,376,240,514,23218,63.70797018,91.14754098,82,24,245,5560,54.44411081,,,-0.132055431,-1.545413965,0.048887595,0.556930401,0.698374364,1.376825516
ID199493,199493,0,24.03078842,11.1530442,19.03324839,0,6,2,0.25,1,,23,22,17,33,1403,4.494441011,409.6229508,412,297,548,24987,53.69859214,93.3442623,69,24,236,5694,58.50295868,,,-0.128619094,-1.510704604,0.061014757,0.877333749,0.695977878,1.309528774
ID199277,199277,0,27.05021477,11.13835656,19.0338661,0,9,3,0.25,1,,24.16393443,24,17,35,1474,4.004915013,396.9344262,408,285,488,24213,55.73056279,101.147541,75,33,259,6170,64.24947109,,,-0.105307992,-1.420339329,0.061665064,0.82738376,0.709100925,1.306339655
ID200833,200833,0,29.69819069,11.15881667,19.00970729,0,12,4,0.25,1,,26.42622951,25,16,43,1612,6.810430766,351.7540984,352,243,502,21457,57.80186149,108.4918033,85,28,234,6618,66.88886877,,,-0.095222454,-0.816748169,0.018690261,0.223306086,0.718329598,1.356095776
ID199695,199695,0,31.980896,11.14695317,19.02420285,0,15,5,0.25,1,,22.19672131,20,14,34,1354,4.456529562,390.6721311,398,285,475,23831,48.84012057,116.8360656,85,29,276,7127,77.10559433,,,-0.11780755,-1.330245566,0.060787722,0.916754573,0.73681485,1.285659244
ID200513,200513,0,32.0148735,11.10447171,19.04312983,0,18,6,0.25,1,,22.29508197,22,13,37,1360,4.267490528,394.9672131,409,257,474,24093,54.08942201,115.3278689,88,32,275,7035,73.66992179,,,-0.117714817,-1.394083051,0.069102395,0.943957622,0.734127362,1.325453432
ID200987,200987,0,27.38514519,11.12763389,18.97944708,0,21,7,0.25,1,,24.40983607,23,17,42,1489,4.623768482,376.9016393,392,262,492,22991,60.50473946,104.295082,88,28,263,6362,64.70196913,,,-0.108236083,-1.281506899,0.049535662,0.588016344,0.714551713,1.343567233
ID201117,201117,0,28.81833267,11.14003245,19.00643248,0,24,8,0.25,1,,24.86885246,25,17,33,1517,4.177221604,386.8196721,395,263,503,23596,58.56720021,106.0819672,89,24,243,6471,66.46409935,,,-0.086802533,-1.131790194,0.058920603,0.7350009,0.719395847,1.335600243
ID199389,199389,0,23.94580078,11.07062545,18.98467179,0,27,9,0.25,1,,22.72131148,23,16,35,1386,4.041992691,409.5081967,403,326,518,24980,48.92873149,95.45901639,72,23,258,5823,59.88115279,,,-0.126861945,-1.633489386,0.078189644,1.213899452,0.694329107,1.306545079
ID199594,199594,0,21.132164,11.03901634,19.0120877,0,30,10,0.25,1,,23.1147541,24,14,33,1410,4.086964483,398.2622951,398,264,549,24294,57.89873391,85.54098361,71,19,213,5218,47.84334637,,,-0.102458149,-1.291249625,0.067701603,0.872326731,0.684667778,1.453276688
ID199801,199801,0,22.77761459,10.95174484,19.04454831,0,33,11,0.25,1,,23.45901639,23,18,32,1431,3.452408678,365.6721311,367,288,458,22306,38.03144371,91.93442623,77,18,230,5608,56.82366551,,,-0.073929446,-1.084903153,0.030026938,0.560585041,0.68017377,1.309919477
ID199950,199950,0,23.89724731,10.9523531,19.01310358,0,36,12,0.25,1,,21.39344262,21,14,28,1305,3.616069176,409.1967213,414,312,475,24961,38.36787705,92,85,22,220,5612,59.32003596,,,-0.099034428,-1.300624534,0.07165289,1.426178689,0.672036349,1.246704326
ID200990,200990,0,28.6299305,10.95371569,18.98364295,0,39,13,0.25,1,,23.67213115,23,16,30,1444,3.064426599,397.2295082,392,304,487,24231,46.47486541,105.3606557,85,23,256,6427,66.47531692,,,-0.093425889,-1.592142953,0.054466539,0.882978918,0.707700832,1.313669026
ID200302,200302,0,27.81698036,10.97893247,18.95208956,0,42,14,0.25,1,,22.52459016,22,17,30,1374,2.384719113,374.1803279,378,275,456,22825,40.43451834,105.1967213,98,29,213,6417,60.68904889,,,-0.091305696,-1.898146484,0.053306397,0.936662813,0.71379146,1.443893768
ID201203,201203,0,30.93643188,10.97449127,18.95769701,0,45,15,0.25,1,,22.81967213,23,17,29,1392,3.002821988,377.6393443,376,279,469,23036,44.11992475,110.5737705,99,29,278,6745,71.6627423,,,-0.079921734,-1.320231034,0.043231062,0.709394573,0.748124674,1.320657698
ID200359,200359,0,27.87695694,10.94578304,18.8872995,0,48,16,0.25,1,,23.55737705,23,16,31,1437,3.630998899,392.8852459,396,295,484,23966,47.85049577,99.85245902,70,23,249,6091,69.07407523,,,-0.086872932,-1.234480043,0.068061573,1.046441528,0.708453291,1.198896779
ID200093,200093,0,26.41425896,10.97620989,18.85903077,0,51,17,0.25,1,,23.72131148,24,17,34,1447,3.804081788,395.4918033,403,271,505,24125,56.67381022,100.8360656,83,30,257,6151,63.05980768,,,-0.110761941,-1.553428836,0.081867233,1.056139324,0.723848506,1.342894303
ID200723,200723,0,28.99442482,10.96160046,18.85180955,0,54,18,0.25,1,,23.86885246,24,16,35,1456,3.887910363,382.4098361,388,246,497,23327,59.91782624,106.0327869,85,27,306,6468,73.23022309,,,-0.094524164,-1.281773447,0.057724408,0.69661041,0.737128347,1.228827778
ID200625,200625,0,29.30392456,10.96934141,18.85222671,0,57,19,0.25,1,,24.27868852,24,18,32,1481,3.189206524,385.5081967,395,255,516,23516,69.76714197,107.7704918,92,30,279,6574,68.42328878,,,-0.086862544,-1.448334786,0.06118018,0.637139164,0.728050517,1.327183568
ID201295,201295,0,27.75011444,10.97539297,18.81216936,0,60,20,0.25,1,,23.86885246,24,16,32,1456,4.514699731,367.3442623,364,236,473,22408,65.42957671,101.7377049,83,20,282,6206,71.33089598,,,-0.121415029,-1.461239291,0.056202681,0.597501379,0.724381492,1.198307411
ID202457,202457,0,28.17367554,10.9571039,18.83524382,0,63,21,0.25,1,,22.55737705,21,14,37,1376,5.178560257,374.5737705,366,257,484,22849,59.30752033,104.295082,76,24,293,6362,71.6610876,,,-0.127268534,-1.270427737,0.061594079,0.732888775,0.727622689,1.225935903
ID201510,201510,0,26.43834877,11.0275496,18.79848785,0,66,22,0.25,1,,26.70491803,25,19,43,1629,5.928305723,360.3442623,363,239,489,21981,56.10730352,104.0655738,96,24,282,6348,64.74330566,,,-0.081575875,-0.80021946,0.055184453,0.671763761,0.711769519,1.336707257
ID201408,201408,0,26.19475174,11.02706813,18.82889261,0,69,23,0.25,1,,24.63934426,25,14,33,1503,3.582516745,375.3606557,385,246,472,22897,52.68365742,105.3934426,95,24,295,6429,65.90935156,,,-0.07314706,-1.085567802,0.074880329,0.992682708,0.723727717,1.342774509
ID201694,201694,0,26.54442978,10.95768989,18.82314511,0,72,24,0.25,1,,23.63934426,23,18,30,1442,2.892707998,372.2459016,375,270,477,22707,47.3584402,102.9508197,79,27,290,6280,67.78530476,,,-0.080498749,-1.430861612,0.059755278,0.886407069,0.728174619,1.279888586
ID201903,201903,0,28.00910187,10.94443162,18.83958673,0,75,25,0.25,1,,23.36065574,23,18,31,1425,2.543179027,352.6065574,357,259,443,21509,43.81867132,102.7213115,83,25,248,6266,66.33981488,,,-0.090228114,-1.821996169,0.039442615,0.610697807,0.726989854,1.303631541
ID202160,202160,0,27.91237068,10.93630923,18.82571375,0,78,26,0.25,1,,22.91803279,23,14,34,1398,3.565085702,363.0491803,367,258,470,22146,46.95899851,107.4918033,90,25,297,6557,70.1611533,,,-0.117435323,-1.710761866,0.052891673,0.776748181,0.725550826,1.288394049
ID201595,201595,0,25.48648834,10.94765578,18.8507238,0,81,27,0.25,1,,24.52459016,24,19,32,1496,2.61155482,358.4262295,360,255,449,21864,42.93190694,97.91803279,80,20,302,5973,66.26595282,,,-0.08264028,-1.691939078,0.045909869,0.732928129,0.719267775,1.23637242
ID201977,201977,0,25.79549217,10.90309873,18.95943085,0,84,28,0.25,1,,21.40983607,22,11,28,1306,3.896053769,375.3114754,371,295,452,22894,33.78537207,95.18032787,77,24,252,5806,60.60954496,,,-0.093886803,-1.138781728,0.049857184,1.055092796,0.705207791,1.298900734
ID202356,202356,0,26.75537872,10.91474054,18.91602979,0,87,29,0.25,1,,22.32786885,23,16,27,1362,2.420201861,365.4918033,365,260,457,22295,46.1795853,100.6721311,78,28,284,6141,65.1129074,,,-0.093253646,-1.897604397,0.052312164,0.786893038,0.710070724,1.283984277
ID202653,202653,0,25.118536,10.98881312,18.81547616,0,90,30,0.25,1,,23.1147541,22,15,34,1410,4.719104296,352.4754098,350,255,444,21501,44.83585119,101.0327869,86,23,290,6163,65.58098485,,,-0.14292375,-1.633595923,0.027789634,0.425120447,0.701623518,1.270442614
ID202072,202072,0,26.3880043,11.03471141,18.80259822,0,93,31,0.25,1,,27.31147541,27,20,37,1666,3.653952123,376.8688525,375,269,486,22989,55.08886016,102.3114754,88,26,261,6241,63.41097197,,,-0.066620616,-1.06699588,0.071524308,0.913288714,0.711933643,1.341969121
ID202249,202249,0,27.44816399,11.03538159,18.85683289,0,96,32,0.25,1,,25.04918033,24,18,32,1528,3.34378144,374.7540984,375,245,495,22860,54.95229924,106.704918,97,29,300,6509,66.27501899,,,-0.080251579,-1.30728467,0.068967047,0.879969933,0.725865826,1.354296925
ID201798,201798,0,24.7933712,11.0247081,18.83798845,0,99,33,0.25,1,,25.08196721,25,18,33,1530,3.051202397,356.5737705,357,239,482,21751,54.55133943,97.47540984,91,25,253,5946,60.34003827,,,-0.06567317,-1.155605848,0.042024909,0.527233076,0.704092525,1.334922479
ID202554,202554,0,26.59857559,10.96438715,18.8380731,0,102,34,0.25,1,,23.26229508,23,15,32,1419,4.874770556,365.4098361,362,259,445,22290,40.24109717,103.6721311,82,27,294,6324,63.3681627,,,-0.116319555,-1.256278318,0.058033903,0.996145116,0.707951239,1.356278212
ID202764,202764,0,28.00901222,10.95046399,18.8675343,0,105,35,0.25,1,,23.55737705,23,18,29,1437,2.649053857,358.5081967,352,277,448,21869,45.14481253,104.7868852,89,26,248,6392,64.95462897,,,-0.088478942,-1.726391767,0.040667183,0.620659579,0.715222287,1.345387686
