LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
ID52523,52523,0,47.78313828,9.483313079,12.21946011,0,0,0,0.25,1,,11.3442623,11,6,15,692,1.878698538,34.60655738,35,27,42,2111,3.307963566,185.7213115,158,45,475,11329,108.1848928,,,0.008228613,0.09856365,-0.002721782,-0.057103763,0.741216867,1.461563021
ID52369,52369,0,47.02980804,9.480902093,12.21649903,0,3,1,0.25,1,,11.57377049,12,7,17,706,1.736462077,36.18032787,37,27,47,2207,4.492616894,184.7213115,166,56,423,11268,99.44380845,,,9.79E-04,0.013034623,-0.021758046,-0.358242177,0.724995662,1.561408903
ID52217,52217,0,42.33110809,9.553603871,12.21394776,0,6,2,0.25,1,,11.52459016,12,7,16,703,1.920126362,36.09836066,36,27,46,2202,4.918349717,169.8032787,145,59,388,10358,89.9240086,,,0.009538263,0.113415443,0.005405111,0.078915369,0.715904663,1.575659766
ID53220,53220,0,39.09839249,9.514642499,12.19485431,0,9,3,0.25,1,,9.967213115,10,5,14,608,1.9576109,33.67213115,33,23,46,2054,5.290624763,158.8852459,130,56,355,9692,84.2510333,,,-0.065962554,-0.719135189,-0.017629483,-0.228432506,0.68549027,1.533957669
ID52836,52836,0,42.24486923,9.485639864,12.25968974,0,12,4,0.25,1,,10.26229508,10,8,13,626,1.48213404,36.55737705,36,31,46,2230,3.766185471,171.4754098,140,52,395,10460,90.08618217,,,-0.030290228,-0.432561423,0.033332938,0.626234005,0.706962584,1.576689193
ID53007,53007,0,43.3655014,9.513088649,12.24412008,0,15,5,0.25,1,,11.49180328,12,7,15,701,1.689407695,37.78688525,37,27,52,2305,5.686577043,170.5409836,146,37,352,10403,90.44953911,,,0.00187177,0.02541698,0.027778235,0.359190959,0.710550569,1.566431741
ID52922,52922,0,44.13441467,9.408836539,12.15035799,0,18,6,0.25,1,,11.24590164,11,5,17,686,2.165300115,35.45901639,36,27,45,2163,4.314988492,180.7377049,165,58,424,11025,90.87425408,,,-0.013143268,-0.138342442,0.004085573,0.066874303,0.713853428,1.656812153
ID52053,52053,0,42.82112503,9.485542525,12.13473822,0,21,7,0.25,1,,11.70491803,12,6,17,714,2.231175044,36.42622951,37,29,48,2222,4.876675836,168.8360656,144,45,378,10299,89.46734606,,,0.034412081,0.349045527,0.023142038,0.337898288,0.713224432,1.571240325
ID52131,52131,0,41.54396057,9.492800491,12.18952643,0,24,8,0.25,1,,10.95081967,11,8,15,668,1.856755499,35.45901639,34,28,46,2163,4.436867403,165.557377,143,45,389,10099,88.65824357,,,-0.019997166,-0.240692757,0.022427233,0.350609374,0.720477902,1.56397921
ID52288,52288,0,38.16905212,9.549314599,12.19855787,0,27,9,0.25,1,,12.42622951,13,9,17,758,1.910139754,37.47540984,37,27,55,2286,5.457736275,152.5081967,128,48,346,9303,80.31928431,,,0.030149764,0.380791966,0.003932528,0.053793668,0.698855448,1.562191532
