LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,
ID240370,240370,0,1.28485906124115,20.5964647084626,16.540024132282905,0.0,30.016779899597168,10,0.25,1,,25.557377049180328,25.0,17.0,45.0,1559.0,5.411483438528153,136.9672131147541,131.0,89.0,173.0,8355.0,21.382989511225,13.098360655737705,13.0,8.0,20.0,799.0,2.6564695746597384,,,-0.03475302800575524,-0.340082390429988,-0.05505101540824383,-0.746337327645634,0.234664805327644,1.8743081123213237
ID240236,240236,0,1.3399794101715088,20.72394717506257,16.58073426314432,0.0,33.018457889556885,11,0.25,1,,24.475409836065573,23.0,17.0,40.0,1493.0,4.866917427479292,138.4262295081967,138.0,94.0,170.0,8444.0,18.261488636283588,13.39344262295082,14.0,9.0,19.0,817.0,2.245578533656677,,,-0.03173053183923589,-0.32959992487702944,-0.036463970907402894,-0.5737308601389356,0.23927104744914016,2.3031266269891355
ID240334,240334,0,1.3945986032485962,20.55259209268348,16.5077895813531,0.0,36.0201358795166,12,0.25,1,,26.65573770491803,27.0,14.0,45.0,1626.0,6.804129250931963,137.86885245901638,135.0,101.0,188.0,8410.0,18.85070768772008,12.688524590163935,13.0,6.0,21.0,774.0,3.4715077589166614,,,-0.021339461588969127,-0.1708439199776466,-0.0466759476900654,-0.7161781905724641,0.2041368337311058,1.2392773551348348
ID240400,240400,0,1.9702223539352417,20.546758229498707,16.515106644908034,0.0,39.02181386947632,13,0.25,1,,28.114754098360656,27.0,18.0,42.0,1715.0,5.765120295523581,143.9672131147541,142.0,94.0,193.0,8782.0,21.606300942946213,15.147540983606557,15.0,6.0,21.0,924.0,3.290572724079961,,,0.011984289165190076,0.11550330745293565,-0.04102189608927943,-0.5700595315626157,0.2973179954369226,2.109965684165924
ID240309,240309,0,1.8940140008926392,20.51762705745003,16.565552284249936,0.0,42.023491859436035,14,0.25,1,,28.78688524590164,29.0,18.0,42.0,1756.0,6.364261554698394,148.14754098360655,146.0,100.0,203.0,9037.0,22.145606084559056,16.0327868852459,16.0,9.0,22.0,978.0,3.255596274697638,,,0.013552579581436037,0.12096294043538412,-0.030220255104109552,-0.4169287938799309,0.26316716446388344,2.052009399904361
ID240357,240357,0,2.0603036880493164,20.54006298197493,16.63797443748665,0.0,45.02516984939575,15,0.25,1,,29.147540983606557,30.0,16.0,42.0,1778.0,5.807569961047306,153.04918032786884,147.0,111.0,239.0,9336.0,27.929927932541105,16.934426229508198,17.0,9.0,25.0,1033.0,3.767708642570515,,,0.03032418230068679,0.29542869277445083,-0.0434707437170748,-0.49806956102635364,0.2643906781370184,1.8796977617153752
ID240295,240295,0,2.4927096366882324,20.483322545345064,16.582618345208697,0.0,48.02684783935547,16,0.25,1,,29.83606557377049,28.0,16.0,44.0,1820.0,7.657633071798041,148.78688524590163,150.0,103.0,199.0,9076.0,21.14798237350187,16.83606557377049,16.0,8.0,27.0,1027.0,4.997267012640851,,,0.04696845889851278,0.34958251976560384,-0.042637550999614936,-0.62667384752395,0.3084791405757968,1.588535949942793
