LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,
ID250179,250179,1,2.2428791522979736,13.036482032592138,25.34770577254807,0.0,0.0,0,0.25,1,,62.91803278688525,62.0,49.0,83.0,3838.0,8.53677355516945,20.262295081967213,20.0,10.0,33.0,1236.0,5.243731620847447,4.491803278688525,4.0,2.0,7.0,274.0,1.1919584838921211,,,0.05079448785886904,0.7125415093708943,0.22251070573557677,1.406618793433128,0.009292591042277105,0.06939198866015324
ID252263,252263,1,2.7372124195098877,13.075959947331508,25.526591863509047,0.0,3.001677989959717,1,0.25,1,,55.950819672131146,55.0,36.0,80.0,3413.0,10.704245621104736,21.639344262295083,20.0,14.0,37.0,1320.0,5.8907633542839655,4.524590163934426,4.0,2.0,8.0,276.0,1.2728780692725332,,,0.019006453101356402,0.19498649249785907,0.23302612060112146,1.3884647027315526,0.030626425502572486,0.21126009807545218
ID251585,251585,1,1.488358974456787,12.501499572255913,25.402857197091357,0.0,6.003355979919434,2,0.25,1,,40.049180327868854,41.0,30.0,55.0,2443.0,5.681626027550555,18.098360655737704,17.0,11.0,25.0,1104.0,3.5482621005819492,4.344262295081967,4.0,1.0,6.0,265.0,1.1384967559848282,,,-0.0381631575650742,-0.5593631794829697,0.13148677096162742,1.1854578613294582,0.04338877641189698,0.31735509805197615
ID251848,251848,1,1.9552828073501587,12.665376646557837,25.277277980662685,0.0,9.00503396987915,3,0.25,1,,47.19672131147541,45.0,29.0,68.0,2879.0,9.770396907889921,17.39344262295082,16.0,9.0,26.0,1061.0,4.677173963426312,4.360655737704918,4.0,2.0,7.0,266.0,1.2115112722717565,,,-0.0070157010605859296,-0.06825874715718082,0.19784724137709833,1.2284587648765712,0.05605558187273012,0.3821082606269013
ID251035,251035,1,4.864549160003662,12.536372982221813,25.57972009511966,0.0,12.006711959838867,4,0.25,1,,39.09836065573771,37.0,30.0,58.0,2385.0,7.3840027944035596,27.75409836065574,24.0,12.0,64.0,1693.0,11.392476666211081,3.622950819672131,4.0,0.0,8.0,221.0,1.3924072012912212,,,-0.026365780848798617,-0.28677514000621807,0.32940714566156265,1.207296601400904,-0.06889452769665345,-0.3850454729920955
ID252404,252404,1,3.963576555252075,11.859308369875997,25.192379956281407,0.0,15.008389949798584,5,0.25,1,,42.52459016393443,44.0,32.0,51.0,2594.0,4.5040964960690655,26.327868852459016,26.0,13.0,50.0,1606.0,8.865140178390506,4.721311475409836,5.0,1.0,8.0,288.0,1.4039366977774042,,,0.01714611627989874,0.31830602969465094,0.3003779365995828,1.3720139648592153,0.020854941845828506,0.137401055764218
ID251435,251435,1,3.2230405807495117,12.17358609039045,25.027562336129442,0.0,18.0100679397583,6,0.25,1,,43.885245901639344,44.0,33.0,58.0,2677.0,5.997494923315172,25.21311475409836,25.0,14.0,43.0,1538.0,6.374728109491837,4.754098360655738,4.0,2.0,8.0,290.0,1.2994324107716935,,,0.03198674401514845,0.4536015801848899,0.27085358009737226,1.685908085583588,0.00584311291101324,0.042506808229678665
