LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,
ID406274,406274,0,2.370957136154175,19.448974577796772,34.01565325628229,0.0,0.0,0,0.25,1,,27.918032786885245,27.0,20.0,39.0,1703.0,3.639116568469208,21.81967213114754,20.0,12.0,40.0,1331.0,7.1705606399158475,3.557377049180328,4.0,0.0,6.0,217.0,1.118400497197291,,,-0.05920462035845448,-0.9655600002972726,0.22608604626818798,1.122219762514233,-0.03163072554165235,-0.20779289590337455
ID405930,405930,0,5.185671806335449,19.661522064631985,34.274040685783554,0.0,3.001677989959717,1,0.25,1,,29.081967213114755,28.0,23.0,41.0,1774.0,3.925536404820846,31.852459016393443,28.0,12.0,57.0,1943.0,11.411742586146035,3.6885245901639343,4.0,0.0,6.0,225.0,1.348344461510206,,,-0.03493531441782975,-0.5363681723342311,0.3971364194416242,1.5867989220646035,0.07642333881511887,0.3884406973456781
ID405828,405828,0,3.247962713241577,19.418390275533916,34.0846011190915,0.0,6.003355979919434,2,0.25,1,,29.295081967213115,29.0,21.0,37.0,1787.0,3.4992583132957478,22.868852459016395,21.0,12.0,39.0,1395.0,7.1541955285833625,3.2950819672131146,3.0,0.0,6.0,201.0,1.6567464329731927,,,-0.024968533571424166,-0.4287687400900445,0.3030014355730219,1.486665813237553,-0.013661963977025593,-0.05509694623981038
ID404811,404811,0,3.556319236755371,19.421350988381487,34.125894358782865,0.0,9.00503396987915,3,0.25,1,,30.60655737704918,31.0,23.0,42.0,1867.0,4.0260762061200905,24.39344262295082,22.0,12.0,48.0,1488.0,8.722153190821233,3.540983606557377,4.0,0.0,6.0,216.0,1.3111543322813333,,,-0.01923082663005358,-0.29812173027039823,0.3353286848780736,1.4046299004812406,0.03162779338136525,0.1655945183935475
ID405154,405154,0,4.030843257904053,19.353633779748677,34.459457471792824,0.0,12.006711959838867,4,0.25,1,,26.59016393442623,26.0,18.0,37.0,1622.0,3.7699560084981005,26.950819672131146,25.0,13.0,50.0,1644.0,10.367298313299367,3.262295081967213,3.0,0.0,6.0,199.0,1.4130538954602572,,,-0.0445219463541004,-0.6573068434140154,0.3241530804873863,1.2727653295191048,-0.027799752952769572,-0.13203215743986504
ID404999,404999,0,4.0532546043396,19.536132678043707,34.27670581299454,0.0,15.008389949798584,5,0.25,1,,26.60655737704918,26.0,18.0,37.0,1623.0,3.9592873454894644,28.360655737704917,26.0,17.0,51.0,1730.0,8.921944457133481,3.2459016393442623,4.0,0.0,6.0,198.0,1.362054057969286,,,-0.060325146552801766,-0.8628244422749191,0.35776731824455243,1.6751822522815987,0.01535503044783075,0.07207817196577321
ID406014,406014,0,3.980684995651245,19.562970747035273,34.26945353670363,0.0,18.0100679397583,6,0.25,1,,29.42622950819672,29.0,21.0,40.0,1795.0,4.907338098512752,25.360655737704917,22.0,14.0,42.0,1547.0,8.378609245941409,3.8524590163934427,4.0,1.0,6.0,235.0,1.2225119709539383,,,-0.023473481827679808,-0.28827840151081335,0.35575733282211264,1.5885117664982018,0.03830898227644724,0.23253530841894335
