LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,
ID271656,271656,1,2.07114315032959,23.790762072239808,7.973090550383322,0.0,0.0,0,0.25,1,,28.24590163934426,29.0,21.0,36.0,1723.0,3.40908461665258,19.78688524590164,18.0,10.0,37.0,1207.0,6.194391963968593,4.081967213114754,4.0,2.0,6.0,249.0,1.114975066495706,,,-0.05840562879978143,-1.0278707496842523,0.2076278292407701,1.0984017059340212,0.029687151231775916,0.21110454493266578
ID272549,272549,1,2.275869131088257,24.127417075907754,8.155160645220871,0.0,3.001677989959717,1,0.25,1,,28.049180327868854,27.0,22.0,39.0,1711.0,3.348762107148436,20.21311475409836,19.0,12.0,37.0,1233.0,5.938896513939159,4.327868852459017,4.0,3.0,6.0,264.0,0.8509075836111667,,,-0.01715609879484644,-0.2924151467642104,0.24442609413707672,1.3370139490954651,0.08296332552529462,0.7792810147162822
ID273159,273159,1,2.4725327491760254,24.43205196323682,8.56183260583303,0.0,6.003355979919434,2,0.25,1,,30.65573770491803,31.0,24.0,39.0,1870.0,3.7322256358266057,21.295081967213115,19.0,13.0,32.0,1299.0,5.444704651601351,3.6557377049180326,3.0,1.0,8.0,223.0,1.2633981412792956,,,-0.009872097448417046,-0.16379174500044136,0.23981974067385753,1.5130781764208208,-0.04708952959028829,-0.2859809095979573
ID271063,271063,1,2.679669141769409,25.264719039122916,9.414554493475581,0.0,9.00503396987915,3,0.25,1,,50.40983606557377,48.0,31.0,77.0,3075.0,12.604730658474127,22.229508196721312,21.0,13.0,32.0,1356.0,5.5148086779233205,4.098360655737705,4.0,2.0,6.0,250.0,1.1504335129678556,,,0.017380245866892755,0.13664203641002426,0.27017648436335767,1.7147976432711214,0.049705963045578644,0.33738010813778907
ID272171,272171,1,2.083969831466675,25.829633170655562,9.563472510795378,0.0,12.006711959838867,4,0.25,1,,33.36065573770492,34.0,26.0,47.0,2035.0,3.6969933138756845,19.37704918032787,18.0,11.0,30.0,1182.0,4.676765030182828,3.9836065573770494,4.0,1.0,6.0,243.0,1.2581971663016955,,,-0.055689434246813746,-1.0643240259541193,0.22600739616636958,1.5275718554956013,-0.01812546633759972,-0.11689365128446225
ID272427,272427,1,2.315171241760254,25.796213832802266,9.501510647337804,0.0,15.008389949798584,5,0.25,1,,33.24590163934426,34.0,23.0,41.0,2028.0,3.243741346577632,20.57377049180328,20.0,12.0,38.0,1255.0,5.869295858940954,4.098360655737705,4.0,3.0,6.0,250.0,1.0280226656513445,,,-0.07834129941358291,-1.7423786392050258,0.2621101260795904,1.4559432010701365,0.008607548510584618,0.06804476901712393
ID273630,273630,1,1.7473806142807007,25.638242741032023,9.42742381891998,0.0,18.0100679397583,6,0.25,1,,36.26229508196721,37.0,24.0,53.0,2212.0,5.95791249612441,17.18032786885246,17.0,9.0,27.0,1048.0,4.474029491488672,3.3934426229508197,3.0,1.0,7.0,207.0,1.5305629522563493,,,-0.06939520919436927,-0.9077272395331948,0.2227650899930392,1.3991578140704268,-0.0588964662120273,-0.27750521114133203
