LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,
ID581192,581192,0,22.77168083190918,11.253530301578252,12.59936701872538,0.0,0.0,0,0.25,1,,19.83606557377049,20.0,9.0,32.0,1210.0,4.579593605946757,33.50819672131148,32.0,25.0,46.0,2044.0,5.207760077741909,91.21311475409836,85.0,36.0,204.0,5564.0,48.427648698547664,,,0.020930611618742573,0.1776005407962553,0.0032699196673467274,0.04194202320730955,0.6879322113362614,1.535269218897504
ID580808,580808,0,16.807519912719727,11.058874863066011,12.382727356469315,0.0,3.0,1,0.25,1,,21.57377049180328,22.0,17.0,27.0,1316.0,3.122280237227502,32.131147540983605,32.0,25.0,44.0,1960.0,4.1732298037054605,73.67213114754098,66.0,27.0,141.0,4494.0,34.43918374539646,,,0.038706639460053434,0.5149638337146594,-0.016428966531897064,-0.25721035362317346,0.6250225998915205,1.6455712645952716
ID580454,580454,0,8.888537406921387,11.22539537311153,12.815795131249239,0.0,6.0,2,0.25,1,,21.21311475409836,22.0,13.0,30.0,1294.0,3.7510654224204996,35.9344262295082,36.0,24.0,49.0,2192.0,5.309955594475395,43.40983606557377,40.0,15.0,83.0,2648.0,18.15982475060477,,,0.06557369378979923,0.6960267904740783,-0.002330013731823416,-0.03160977427742722,0.5258700000982219,1.6476590557924273
ID581065,581065,0,11.293266296386719,11.538138578161178,12.298715672487326,0.0,9.0,3,0.25,1,,14.524590163934427,15.0,12.0,18.0,886.0,1.628972655561874,36.704918032786885,37.0,29.0,43.0,2239.0,4.104242773419892,56.31147540983606,51.0,25.0,101.0,3435.0,21.329588981511545,,,-0.0213754063586499,-0.38950975818413974,-0.02083615459827877,-0.3806128214138057,0.541841737810904,1.8555688484521722
ID581333,581333,0,15.914801597595215,11.734910273745262,12.594736001200545,0.0,12.0,4,0.25,1,,12.163934426229508,12.0,9.0,15.0,742.0,1.4045204148136894,44.295081967213115,44.0,34.0,61.0,2702.0,6.888019217682934,69.72131147540983,58.0,25.0,144.0,4253.0,34.0886741443259,,,-0.07599455185466894,-1.424570465434375,-0.010475741619874898,-0.1361599828051763,0.6058352820028748,1.5432596436294688
ID581459,581459,0,15.62759780883789,11.85546217811293,11.849234353989237,0.0,15.0,5,0.25,1,,14.278688524590164,14.0,9.0,24.0,871.0,3.215230150087671,38.967213114754095,39.0,29.0,51.0,2377.0,5.680279374334663,72.09836065573771,65.0,24.0,166.0,4398.0,34.126580509446875,,,-0.034009061521302106,-0.3126999740511047,0.022606748658957926,0.30331165412752603,0.5840540263992632,1.5579217630433857
ID581593,581593,0,18.633039474487305,12.552960678785398,12.364602887244846,0.0,18.0,6,0.25,1,,13.60655737704918,13.0,9.0,22.0,830.0,2.740308307013344,41.80327868852459,40.0,30.0,57.0,2550.0,8.003790085809653,80.31147540983606,67.0,27.0,163.0,4899.0,38.38556194873561,,,-0.019699293026564396,-0.19955846298766447,0.0022734276947264423,0.023694065293448006,0.6310831683599103,1.6190124496695144
