LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,
ID297597,297597,0,2.950662851333618,22.259996677292108,20.61704100907682,0.0,0.0,0,0.25,1,,47.9344262295082,47.0,33.0,63.0,2924.0,7.049512636721816,28.262295081967213,27.0,14.0,52.0,1724.0,8.195327203848672,4.131147540983607,4.0,0.0,7.0,252.0,1.4660082973397024,,,0.008394403730846146,0.11320819385262947,0.20744385571510718,1.1849629034665408,0.003507025363712457,0.019696214382467672
ID297285,297285,0,3.120495319366455,22.05988928687324,20.54937735222453,0.0,3.001677989959717,1,0.25,1,,53.47540983606557,53.0,38.0,72.0,3262.0,6.654839235165764,29.19672131147541,27.0,15.0,53.0,1781.0,9.821438577810529,3.8360655737704916,4.0,1.0,6.0,234.0,1.2803687993289592,,,0.022692576949728614,0.35660322134494576,0.1820231837276478,0.9155660635343059,-0.007243669322277024,-0.04372168456799478
ID297672,297672,0,3.2945542335510254,21.96949192423672,20.65851122719699,0.0,6.003355979919434,2,0.25,1,,56.377049180327866,58.0,40.0,73.0,3439.0,8.602642877678598,28.131147540983605,25.0,15.0,47.0,1716.0,8.71488269157244,3.9508196721311477,4.0,2.0,7.0,241.0,1.0234944961290986,,,0.007992978768936345,0.10393255277319945,0.19101110302686133,1.0353774473929251,0.003857714245142383,0.029668089854361254
ID298319,298319,0,2.485682487487793,21.906343374557917,20.61008666611748,0.0,9.00503396987915,3,0.25,1,,57.52459016393443,58.0,37.0,79.0,3509.0,10.050881482697672,26.78688524590164,26.0,13.0,42.0,1634.0,7.8254174629821085,4.278688524590164,4.0,1.0,6.0,261.0,1.4039366977774028,,,0.0329719956311646,0.36537267333054296,0.13663949409614148,0.8229969030120553,0.041526374859708205,0.2430227268297108
ID297526,297526,0,3.690173864364624,21.897854966586312,20.496641156324625,0.0,12.006711959838867,4,0.25,1,,55.295081967213115,52.0,45.0,74.0,3373.0,7.925369102435297,32.39344262295082,29.0,14.0,61.0,1976.0,11.95167866664845,4.442622950819672,4.0,2.0,9.0,271.0,1.2586314017473428,,,0.03005590585883682,0.4071608662415151,0.16372786698187872,0.7626571786503541,0.002501208567164741,0.017613103673045156
ID298247,298247,0,3.351384162902832,21.772347666227564,20.743363152819647,0.0,15.008389949798584,5,0.25,1,,59.81967213114754,59.0,42.0,85.0,3649.0,8.083951584716702,31.360655737704917,30.0,19.0,47.0,1913.0,7.574150748621361,4.704918032786885,5.0,3.0,6.0,287.0,0.8821236174724789,,,0.025283910173670748,0.36496432696445386,0.2783257777676531,1.8029889734694196,0.037633525061627,0.38688644356715635
ID297449,297449,0,1.333182692527771,21.564520128784096,20.652654451786827,0.0,18.0100679397583,6,0.25,1,,61.459016393442624,60.0,45.0,85.0,3749.0,9.060120989795157,23.049180327868854,23.0,12.0,29.0,1406.0,4.140958944931302,4.590163934426229,4.0,1.0,9.0,280.0,1.3949557840104696,,,0.02437577916019149,0.3228351462023741,0.10480553081392888,1.0560462014686889,0.01055049163855594,0.06870881049182292
